Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
G07,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20279,0,0,0,20279,0,20279,,,,,,,,,,,,,,,,,,1,1,4405,0,1872.9,1872.9,,,,,0.079,0,,,,,,,,,,,,
G08,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.23,0,0,15581,0,0,0,15581,0,15581,,,,,,,,,,,,,,,,,,1,1,4405,0,2027.6,2027.6,,,,,0.1,0,,,,,,,,,,,,
H02,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.29,ddPCR Supermix for Probes (no dUTP),5.8,,,0.62,0.1,5,20540,0,5,200,20340,0,20545,,,,,,,,0.025,,,0.048,0.002,2.4,,,4.6,0.2,1,1,3475,11286,1934.7,1937,,,,,0.44,0.18,,,,,,,0.036,0.013,,,3.5,1.3
H03,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.35,ddPCR Supermix for Probes (no dUTP),7,,,0.72,0.14,6,20105,0,6,178,19927,0,20111,,,,,,,,0.034,,,0.062,0.005,3.2,,,5.9,0.6,1,1,3475,11213,1933.1,1935.8,,,,,0.52,0.23,,,,,,,0.048,0.019,,,4.6,1.9
H04,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.38,ddPCR Supermix for Probes (no dUTP),7.6,,,0.73,0.16,7,21861,0,7,195,21666,0,21868,,,,,,,,0.036,,,0.063,0.008,3.5,,,6,0.9,1,1,3475,10733,1957.1,1960,,,,,0.54,0.25,,,,,,,0.05,0.022,,,4.7,2.2
H05,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.21,ddPCR Supermix for Probes (no dUTP),4.2,,,0.5,0.06,4,22362,0,4,205,22157,0,22366,,,,,,,,0.019,,,0.04,0,1.9,,,3.8,0,1,1,3475,11424,1949,1950.7,,,,,0.34,0.12,,,,,,,0.029,0.009,,,2.9,0.9
H06,Absolute Quantification,ABS,18385,Ch1Unknown,ZFY,Manual,1.4,ddPCR Supermix for Probes (no dUTP),28,,,2.1,1,28,22751,0,28,405,22346,0,22779,,,,,,,,0.069,,,0.095,0.042,6.4,,,8.7,4.1,1,1,3475,11009,1917.1,1928.2,,,,,1.74,1.19,,,,,,,0.082,0.055,,,7.6,5.2
H07,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18114,0,0,0,18114,0,18114,,,,,,,,,,,,,,,,,,1,1,4405,0,1844.7,1844.7,,,,,0.089,0,,,,,,,,,,,,
H08,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20384,0,0,0,20384,0,20384,,,,,,,,,,,,,,,,,,1,1,4405,0,1637.1,1637.1,,,,,0.079,0,,,,,,,,,,,,
A01,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,75.4,ddPCR Supermix for Probes (no dUTP),1508,,,79.7,71.2,1225,18496,18,240,1207,18256,0.127,19721,,,,,,,,0.205,,,0.233,0.178,17,,,18.9,15.1,1,1,1800,4824.2,1110.7,1341.4,,,,,77.6,73.3,,,,,,,0.219,0.191,,,18,16.1
B01,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,81.8,ddPCR Supermix for Probes (no dUTP),1636,,,86.1,77.4,1368,19009,25,235,1343,18774,0.473,20377,,,,,,,,0.185,,,0.209,0.16,15.6,,,17.3,13.9,1,1,1800,4638,1041.1,1282.6,,,,,84,79.5,,,,,,,0.197,0.172,,,16.5,14.7
C01,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,84.3,ddPCR Supermix for Probes (no dUTP),1686,,,88.7,79.9,1428,19229,14,233,1414,18996,0,20657,,,,,,,,0.168,,,0.191,0.145,14.4,,,16,12.7,1,1,1800,4760.8,1088.6,1342.5,,,,,86.5,82,,,,,,,0.179,0.156,,,15.2,13.5
D01,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,80.3,ddPCR Supermix for Probes (no dUTP),1606,,,84.6,76.1,1355,19172,20,242,1335,18930,0.168,20527,,,,,,,,0.188,,,0.213,0.163,15.8,,,17.6,14.1,1,1,1800,4580.5,1028.9,1263.3,,,,,82.5,78.2,,,,,,,0.201,0.175,,,16.7,14.9
E01,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,77.7,ddPCR Supermix for Probes (no dUTP),1554,,,81.9,73.5,1320,19334,12,245,1308,19089,0,20654,,,,,,,,0.19,,,0.215,0.164,15.9,,,17.7,14.1,1,1,1800,4638.3,1043.1,1272.9,,,,,79.8,75.6,,,,,,,0.203,0.177,,,16.9,15
F01,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,81.5,ddPCR Supermix for Probes (no dUTP),1630,,,86,77.1,1289,17962,21,214,1268,17748,0.349,19251,,,,,,,,0.177,,,0.202,0.153,15.1,,,16.8,13.3,1,1,1800,4547,1023.9,1259.8,,,,,83.8,79.3,,,,,,,0.19,0.165,,,16,14.1
G01,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,83,ddPCR Supermix for Probes (no dUTP),1660,,,87.4,78.6,1367,18700,20,232,1347,18468,0.181,20067,,,,,,,,0.179,,,0.203,0.155,15.2,,,16.9,13.5,1,1,1800,4554.7,1021.1,1261.8,,,,,85.3,80.8,,,,,,,0.191,0.167,,,16.1,14.3
H01,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,82.1,ddPCR Supermix for Probes (no dUTP),1642,,,86.4,77.8,1394,19281,19,260,1375,19021,0.0117,20675,,,,,,,,0.195,,,0.22,0.17,16.3,,,18,14.5,1,1,1800,4577.9,1032.1,1271.2,,,,,84.3,79.9,,,,,,,0.207,0.182,,,17.2,15.4
A02,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,72.8,ddPCR Supermix for Probes (no dUTP),1456,,,76.8,68.9,1286,20135,16,237,1270,19898,0.048,21421,,,,,,,,0.192,,,0.218,0.166,16.1,,,17.9,14.3,1,1,1800,4599.1,1039.2,1252.9,,,,,74.9,70.8,,,,,,,0.205,0.179,,,17,15.2
A03,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,10.5,ddPCR Supermix for Probes (no dUTP),210,,,12,8.9,182,20385,0,9,182,20376,0,20567,,,,,,,,0.049,,,0.083,0.016,4.7,,,7.7,1.6,1,1,1800,4645.6,1054.1,1085.9,,,,,11.2,9.7,,,,,,,0.066,0.032,,,6.2,3.2
A04,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,10.8,ddPCR Supermix for Probes (no dUTP),216,,,12.3,9.3,199,21657,0,11,199,21646,0,21856,,,,,,,,0.055,,,0.089,0.021,5.2,,,8.3,2.2,1,1,1800,4557.5,1033.7,1065.8,,,,,11.5,10,,,,,,,0.072,0.038,,,6.8,3.7
A05,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,11,ddPCR Supermix for Probes (no dUTP),220,,,12.6,9.5,191,20280,0,5,191,20275,0,20471,,,,,,,,0.026,,,0.05,0.002,2.5,,,4.8,0.3,1,1,1800,4776.8,1100.3,1134.6,,,,,11.8,10.2,,,,,,,0.038,0.014,,,3.7,1.4
A06,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,10.1,ddPCR Supermix for Probes (no dUTP),202,,,11.7,8.6,164,18986,0,2,164,18984,0,19150,,,,,,,,0.012,,,0.031,0,1.2,,,3,0,1,1,1800,4853.3,1113.3,1145.3,,,,,10.9,9.3,,,,,,,0.021,0.003,,,2.1,0.3
A07,Absolute Quantification,ABS,C231,Ch2Unknown,ZFX,OK,170,ddPCR Supermix for Probes (no dUTP),3400,,,176,164,2818,18126,348,2389,2470,15737,0,20944,,,,,,,,0.97,,,1.02,0.92,49.2,,,50.5,47.9,1,1,1820,4798.2,1062.8,1565.4,,,,,173.2,166.8,,,,,,,0.995,0.943,,,49.9,48.5
A08,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18502,0,0,0,18502,0,18502,,,,,,,,,,,,,,,,,,1,1,2005,0,1061.1,1061.1,,,,,0.087,0,,,,,,,,,,,,
A09,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18724,0,1,0,18723,0,18724,,,,,,,,,,,,,,,,,,1,1,2005,0,1065.5,1065.5,,,,,0.086,0,,,,,,,,,,,,
B02,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,89.4,ddPCR Supermix for Probes (no dUTP),1788,,,94.2,84.8,1391,17609,14,207,1377,17402,0,19000,,,,,,,,0.154,,,0.176,0.132,13.3,,,15,11.7,1,1,1800,4726.8,1081.4,1348.3,,,,,91.8,87,,,,,,,0.165,0.143,,,14.2,12.5
B03,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,12.4,ddPCR Supermix for Probes (no dUTP),248,,,14,10.7,209,19788,0,4,209,19784,0,19997,,,,,,,,0.019,,,0.039,0,1.9,,,3.8,0,1,1,1800,4836.6,1121.3,1160.1,,,,,13.2,11.5,,,,,,,0.029,0.009,,,2.8,0.9
B04,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,9.6,ddPCR Supermix for Probes (no dUTP),192,,,10.9,8.2,185,22681,0,8,185,22673,0,22866,,,,,,,,0.043,,,0.074,0.012,4.1,,,7,1.3,1,1,1800,4734.4,1090.8,1120.3,,,,,10.3,8.9,,,,,,,0.059,0.027,,,5.6,2.7
B05,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,11.6,ddPCR Supermix for Probes (no dUTP),232,,,13.2,10.1,214,21510,0,4,214,21506,0,21724,,,,,,,,0.019,,,0.038,0,1.8,,,3.7,0,1,1,1800,4684.2,1082,1117.5,,,,,12.4,10.9,,,,,,,0.028,0.009,,,2.8,0.9
B06,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,10.8,ddPCR Supermix for Probes (no dUTP),216,,,12.4,9.3,191,20618,0,5,191,20613,0,20809,,,,,,,,0.026,,,0.05,0.002,2.5,,,4.8,0.3,1,1,1800,4775.1,1100.5,1134.2,,,,,11.6,10.1,,,,,,,0.038,0.014,,,3.7,1.4
B07,Absolute Quantification,ABS,C231,Ch2Unknown,ZFX,OK,146,ddPCR Supermix for Probes (no dUTP),2920,,,152,140,2143,16205,234,1883,1909,14322,0,18348,,,,,,,,0.99,,,1.05,0.93,49.7,,,51.2,48.2,1,1,1312,4748.1,1056.3,1487.5,,,,,149.3,143,,,,,,,1.017,0.957,,,50.4,48.9
B08,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18736,0,0,0,18736,0,18736,,,,,,,,,,,,,,,,,,1,1,2005,0,1085.7,1085.7,,,,,0.086,0,,,,,,,,,,,,
B09,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19438,0,0,0,19438,0,19438,,,,,,,,,,,,,,,,,,1,1,2005,0,1098.3,1098.3,,,,,0.083,0,,,,,,,,,,,,
C02,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,75.2,ddPCR Supermix for Probes (no dUTP),1504,,,79.4,70.9,1204,18246,18,236,1186,18010,0.149,19450,,,,,,,,0.206,,,0.234,0.178,17.1,,,19,15.1,1,1,1800,4628.1,1042.9,1264.9,,,,,77.3,73,,,,,,,0.22,0.192,,,18,16.1
C03,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,10.7,ddPCR Supermix for Probes (no dUTP),214,,,12.2,9.1,179,19663,0,11,179,19652,0,19842,,,,,,,,0.061,,,0.099,0.023,5.8,,,9.1,2.4,1,1,1800,4747.5,1082,1115,,,,,11.5,9.9,,,,,,,0.08,0.042,,,7.5,4.1
C04,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,11.3,ddPCR Supermix for Probes (no dUTP),226,,,12.9,9.8,210,21668,0,5,210,21663,0,21878,,,,,,,,0.024,,,0.046,0.002,2.3,,,4.4,0.2,1,1,1800,4670.6,1085.6,1120,,,,,12.1,10.6,,,,,,,0.035,0.013,,,3.4,1.3
C05,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,10.2,ddPCR Supermix for Probes (no dUTP),204,,,11.6,8.7,190,21888,0,10,190,21878,0,22078,,,,,,,,0.052,,,0.086,0.018,5,,,8,1.9,1,1,1800,4745.5,1092.4,1123.8,,,,,10.9,9.4,,,,,,,0.07,0.035,,,6.5,3.4
C06,Absolute Quantification,ABS,18385,Ch2Unknown,ZFX,Manual,24.1,ddPCR Supermix for Probes (no dUTP),482,,,26.5,21.8,415,20026,0,25,415,20001,0,20441,,,,,,,,0.06,,,0.084,0.035,5.6,,,7.8,3.5,1,1,1800,4615.6,1060.9,1133.1,,,,,25.3,22.9,,,,,,,0.072,0.047,,,6.7,4.5
C07,Absolute Quantification,ABS,C231,Ch2Unknown,ZFX,OK,161,ddPCR Supermix for Probes (no dUTP),3220,,,167,154,2470,16897,297,2051,2173,14846,0,19367,,,,,,,,0.95,,,1,0.89,48.6,,,50.1,47.2,1,1,1446,4797.3,1075.2,1549.9,,,,,163.7,157.3,,,,,,,0.975,0.92,,,49.4,47.9
C08,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.3,0,1,18843,0,0,1,18843,0,18844,,,,,,,,,,,,,,,,,,1,1,2005,2612.2,1077,1077.1,,,,,0.16,0.02,,,,,,,,,,,,
D02,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,75.6,ddPCR Supermix for Probes (no dUTP),1512,,,79.9,71.3,1197,18040,12,222,1185,17818,0,19237,,,,,,,,0.191,,,0.217,0.164,16,,,17.9,14.1,1,1,1800,4745.8,1084.6,1312.5,,,,,77.8,73.4,,,,,,,0.204,0.177,,,17,15
D03,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,10.9,ddPCR Supermix for Probes (no dUTP),218,,,12.5,9.3,180,19377,0,4,180,19373,0,19557,,,,,,,,0.022,,,0.045,0,2.2,,,4.4,0,1,1,1800,4717.9,1071.5,1105.1,,,,,11.7,10.1,,,,,,,0.034,0.011,,,3.3,1.1
D04,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,16371,0,0,0,16371,0,16371,,,,,,,,,,,,,,,,,,1,1,0,0,1509.3,1509.3,,,,,,,,,,,,,,,,,,
D05,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,11.2,ddPCR Supermix for Probes (no dUTP),224,,,12.8,9.6,187,19554,0,4,187,19550,0,19741,,,,,,,,0.021,,,0.043,0,2.1,,,4.2,0,1,1,1800,4776.2,1098.6,1133.4,,,,,12,10.4,,,,,,,0.032,0.01,,,3.1,1
D06,Absolute Quantification,ABS,18385,Ch2Unknown,ZFX,Manual,24,ddPCR Supermix for Probes (no dUTP),480,,,26.2,21.7,450,21875,1,21,449,21854,0.03,22325,,,,,,,,0.048,,,0.069,0.028,4.6,,,6.5,2.7,1,1,1800,4578.6,1046.2,1117.4,,,,,25.1,22.8,,,,,,,0.059,0.038,,,5.6,3.7
D07,Absolute Quantification,ABS,C231,Ch2Unknown,ZFX,OK,145,ddPCR Supermix for Probes (no dUTP),2900,,,151,139,2426,18462,273,2049,2153,16413,0.238,20888,,,,,,,,0.95,,,1.01,0.9,48.8,,,50.3,47.4,1,1,1316,4801.9,1083.2,1515.1,,,,,148.2,142.3,,,,,,,0.982,0.927,,,49.6,48.1
D08,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19923,0,0,0,19923,0,19923,,,,,,,,,,,,,,,,,,1,1,2005,0,1081.2,1081.2,,,,,0.081,0,,,,,,,,,,,,
E02,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,80.4,ddPCR Supermix for Probes (no dUTP),1608,,,84.8,75.9,1253,17724,13,224,1240,17500,0,18977,,,,,,,,0.184,,,0.21,0.158,15.5,,,17.4,13.7,1,1,1800,4780.8,1090.5,1334.1,,,,,82.6,78.1,,,,,,,0.197,0.171,,,16.5,14.6
E03,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,10.7,ddPCR Supermix for Probes (no dUTP),214,,,12.3,9.1,168,18421,0,3,168,18418,0,18589,,,,,,,,0.018,,,0.039,0,1.7,,,3.8,0,1,1,1800,4724.8,1092.2,1125,,,,,11.5,9.9,,,,,,,0.028,0.007,,,2.8,0.7
E04,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,11.5,ddPCR Supermix for Probes (no dUTP),230,,,13,10,218,22241,0,5,218,22236,0,22459,,,,,,,,0.023,,,0.044,0.002,2.2,,,4.2,0.2,1,1,1800,4651.3,1068.8,1103.5,,,,,12.3,10.7,,,,,,,0.033,0.012,,,3.2,1.2
E05,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,11.7,ddPCR Supermix for Probes (no dUTP),234,,,13.3,10.1,205,20448,0,3,205,20445,0,20653,,,,,,,,0.015,,,0.032,0,1.4,,,3.2,0,1,1,1800,4767.1,1103.6,1140,,,,,12.6,10.9,,,,,,,0.023,0.006,,,2.3,0.6
E06,Absolute Quantification,ABS,18385,Ch2Unknown,ZFX,Manual,22.7,ddPCR Supermix for Probes (no dUTP),454,,,25,20.5,387,19851,3,22,384,19829,0.15,20238,,,,,,,,0.064,,,0.09,0.038,6,,,8.3,3.7,1,1,1800,4655.5,1079.5,1147.9,,,,,23.9,21.6,,,,,,,0.077,0.051,,,7.2,4.9
E07,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19763,0,0,0,19763,0,19763,,,,,,,,,,,,,,,,,,1,1,2005,0,1050.8,1050.8,,,,,0.081,0,,,,,,,,,,,,
E08,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.27,0,1,20999,0,0,1,20999,0,21000,,,,,,,,,,,,,,,,,,1,1,2005,4589.8,1077.9,1078,,,,,0.14,0.02,,,,,,,,,,,,
F02,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,Manual,54.4,ddPCR Supermix for Probes (no dUTP),1088,,,58.1,50.8,851,17979,7,166,844,17813,0,18830,,,,,,,,0.2,,,0.232,0.167,16.6,,,18.9,14.4,1,1,1800,5208.2,1240.1,1419.5,,,,,56.3,52.5,,,,,,,0.216,0.183,,,17.8,15.5
F03,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,11.2,ddPCR Supermix for Probes (no dUTP),224,,,12.8,9.6,194,20260,0,5,194,20255,0,20454,,,,,,,,0.026,,,0.049,0.002,2.5,,,4.7,0.3,1,1,1800,4631.6,1049.9,1083.9,,,,,12,10.4,,,,,,,0.037,0.014,,,3.6,1.4
F04,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,10.7,ddPCR Supermix for Probes (no dUTP),214,,,12.2,9.2,194,21235,0,4,194,21231,0,21429,,,,,,,,0.021,,,0.042,0,2,,,4.1,0,1,1,1800,4761.1,1104.7,1137.8,,,,,11.5,9.9,,,,,,,0.031,0.01,,,3,1
F05,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,11.2,ddPCR Supermix for Probes (no dUTP),224,,,12.8,9.7,195,20333,0,7,195,20326,0,20528,,,,,,,,0.036,,,0.063,0.008,3.4,,,6,0.9,1,1,1800,4703.4,1079.6,1114,,,,,12,10.4,,,,,,,0.05,0.022,,,4.7,2.2
F06,Absolute Quantification,ABS,18385,Ch2Unknown,ZFX,Manual,27.6,ddPCR Supermix for Probes (no dUTP),552,,,30.3,24.9,407,17142,1,25,406,17117,0.0273,17549,,,,,,,,0.063,,,0.088,0.038,5.9,,,8.2,3.7,1,1,1800,4573.9,1058,1139.5,,,,,29,26.2,,,,,,,0.076,0.05,,,7.1,4.8
F07,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20376,0,1,0,20375,0,20376,,,,,,,,,,,,,,,,,,1,1,2005,0,1054.8,1054.8,,,,,0.079,0,,,,,,,,,,,,
F08,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20727,0,0,0,20727,0,20727,,,,,,,,,,,,,,,,,,1,1,2005,0,1067.3,1067.3,,,,,0.078,0,,,,,,,,,,,,
G02,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,12.2,ddPCR Supermix for Probes (no dUTP),244,,,13.8,10.5,212,20405,0,6,212,20399,0,20617,,,,,,,,0.028,,,0.052,0.005,2.7,,,5,0.5,1,1,1800,4701.6,1077,1114.3,,,,,13,11.3,,,,,,,0.04,0.016,,,3.9,1.6
G03,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,11,ddPCR Supermix for Probes (no dUTP),220,,,12.7,9.4,175,18582,0,4,175,18578,0,18757,,,,,,,,0.023,,,0.046,0,2.2,,,4.5,0,1,1,1800,4807,1116.4,1150.9,,,,,11.9,10.2,,,,,,,0.035,0.011,,,3.3,1.1
G04,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,13.3,ddPCR Supermix for Probes (no dUTP),266,,,15.1,11.6,234,20513,0,7,234,20506,0,20747,,,,,,,,0.03,,,0.053,0.007,2.9,,,5.1,0.7,1,1,1800,4619.4,1075.3,1115.3,,,,,14.2,12.5,,,,,,,0.041,0.018,,,4,1.8
G05,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,9.1,ddPCR Supermix for Probes (no dUTP),182,,,10.6,7.7,156,20001,0,6,156,19995,0,20157,,,,,,,,0.038,,,0.071,0.006,3.7,,,6.7,0.7,1,1,1800,4844.2,1132.3,1161,,,,,9.9,8.4,,,,,,,0.054,0.022,,,5.2,2.2
G06,Absolute Quantification,ABS,18385,Ch2Unknown,ZFX,Manual,22.8,ddPCR Supermix for Probes (no dUTP),456,,,25.1,20.5,387,19783,0,18,387,19765,0,20170,,,,,,,,0.046,,,0.068,0.024,4.4,,,6.4,2.4,1,1,1800,4568.8,1056.4,1123.8,,,,,24,21.6,,,,,,,0.057,0.035,,,5.4,3.4
G07,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20279,0,0,0,20279,0,20279,,,,,,,,,,,,,,,,,,1,1,2005,0,1055.3,1055.3,,,,,0.079,0,,,,,,,,,,,,
G08,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.23,0,0,15581,0,0,0,15581,0,15581,,,,,,,,,,,,,,,,,,1,1,2005,0,1375.6,1375.6,,,,,0.1,0,,,,,,,,,,,,
H02,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,11.5,ddPCR Supermix for Probes (no dUTP),230,,,13.1,9.9,200,20345,0,5,200,20340,0,20545,,,,,,,,0.025,,,0.048,0.002,2.4,,,4.6,0.2,1,1,1800,4650.2,1076.8,1111.6,,,,,12.3,10.7,,,,,,,0.036,0.013,,,3.5,1.3
H03,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,Manual,10.5,ddPCR Supermix for Probes (no dUTP),210,,,12,8.9,178,19933,0,6,178,19927,0,20111,,,,,,,,0.034,,,0.062,0.005,3.2,,,5.9,0.6,1,1,1800,4689.9,1078.3,1110.3,,,,,11.2,9.7,,,,,,,0.048,0.019,,,4.6,1.9
H04,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,10.5,ddPCR Supermix for Probes (no dUTP),210,,,12,9.1,195,21673,0,7,195,21666,0,21868,,,,,,,,0.036,,,0.063,0.008,3.5,,,6,0.9,1,1,1800,4735,1092.3,1124.8,,,,,11.3,9.8,,,,,,,0.05,0.022,,,4.7,2.2
H05,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,Manual,10.8,ddPCR Supermix for Probes (no dUTP),216,,,12.3,9.4,205,22161,0,4,205,22157,0,22366,,,,,,,,0.019,,,0.04,0,1.9,,,3.8,0,1,1,1800,4775.7,1088.2,1122,,,,,11.6,10.1,,,,,,,0.029,0.009,,,2.9,0.9
H06,Absolute Quantification,ABS,18385,Ch2Unknown,ZFX,Manual,21.1,ddPCR Supermix for Probes (no dUTP),422,,,23.2,19.1,405,22374,0,28,405,22346,0,22779,,,,,,,,0.069,,,0.095,0.042,6.4,,,8.7,4.1,1,1,1800,4654.6,1067.5,1131.3,,,,,22.2,20.1,,,,,,,0.082,0.055,,,7.6,5.2
H07,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18114,0,0,0,18114,0,18114,,,,,,,,,,,,,,,,,,1,1,2005,0,1036.7,1036.7,,,,,0.089,0,,,,,,,,,,,,
H08,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20384,0,0,0,20384,0,20384,,,,,,,,,,,,,,,,,,1,1,2005,0,1050.4,1050.4,,,,,0.079,0,,,,,,,,,,,,
